colony,sym,juntotal,aprtotal,febtotal,logfebtotal,change,pchange,fchange,relchange
792,D,0.04365066,0.08039533,0.04863929,-1.313012773,-0.00498863,-0.102563792,0.897436208,-0.046996412
793,D,0.23264147,0.05874385,0.02015568,-1.695602545,0.21248579,10.54222879,11.54222879,1.062289679
795,D,0.0705297,0.02839443,0.02288474,-1.640454017,0.04764496,2.081953302,3.081953302,0.488826054
796,D,0.06927152,0.11902698,0.04437486,-1.352863004,0.02489666,0.561053263,1.561053263,0.193417721
797,D,0.10225785,0.06618248,0.07756378,-1.110341034,0.02469407,0.318371152,1.318371152,0.120037691
798,D,0.21741495,0.06978305,0.13782052,-0.860686116,0.07959443,0.577522346,1.577522346,0.19797552
909,D,0.0934673,0.06641857,0.03720628,-1.42938375,0.05626102,1.512137736,2.512137736,0.400043447
961,D,0.28565972,0.33651827,0.10060031,-0.997400681,0.18505941,1.839551091,2.839551091,0.453249687
962,D,0.05817314,0.10770347,0.03287648,-1.483114687,0.02529666,0.769445512,1.769445512,0.247837194
963,D,0.2078435,0.09434205,0.16353573,-0.786387346,0.04430777,0.270936327,1.270936327,0.104123793
965,D,0.17648918,0.09233402,0.08933208,-1.048992554,0.0871571,0.975652867,1.975652867,0.295710639
978,D,0.31907546,0.13477515,0.07203171,-1.142476275,0.24704375,3.429652718,4.429652718,0.646369679
