Colony	Reef	Mean_Control_Proportion	Mean_34_Proportion	Mean_34.5_Proportion	Mean_35_Proportion	Mean_Heated_Proportion	ControlVBSEnd	Retention	Depth	Group	North	Forereef	Proportion_Percent_Remaining_34	Proportion_Percent_Remaining_34.5	Proportion_Percent_Remaining_35	Mean_Heated_VBS_Initial	Mean_Heated_VBS_Day_1	Mean_Heated_VBS_Day_2	Mean_Control_VBS_Initial	Mean_Control_VBS_Day_1	Mean_Control_VBS_Day_2	Mean_34_VBS_Day_1	Mean_34_VBS_Day_2	Mean_34.5_VBS_Day_1	Mean_34.5_VBS_Day_2	Mean_35_VBS_Day_1	Mean_35_VBS_Day_2	Temperature	MaxTemp	TempVariances	Proportion_VBS_Remaining_Control_Day_1	Proportion_VBS_Remaining_Control_Day_2	Proportion_VBS_Remaining_Heated_Day_1	Proportion_VBS_Remaining_Heated_Day_2	Heated.Mean.VBS.2	VBS.Delta	Final.Heated.VBS.Bleaching.Criterion	Top	Bottom	Mean_Percent_VBS_Reamining_Heated	Mean_Percent_Proportion_Reamining_Heated	Percent_VBS_Remaining_35_Day_1	Percent_VBS_Remaining_35_Day_2	Percent_VBS_Remaining_34_Day_1	Percent_VBS_Remaining_34_Day_2	Percent_VBS_Remaining_34.5_Day_1	Percent_VBS_Remaining_34.5_Day_2	Residuals	Growth	Size	GroupFactor	Temp32
55	13	0.058619809	0.02762999	NA	0	0.013814995	2.5	0.235671103	4.334628257	2	0	0	0.471342206	NA	0	1.333333333	4.666666667	4.666666667	1.5	2.5	2.5	4	4	5	5	5	5	1425	31.574	0.34930812	0.6	0.6	0.285714286	0.285714286	4.666666667	-2.166666667	0	0	1	0.535714286	0.235671103	0.5	0.5	0.625	0.625	0.5	0.5	-0.435336917	1.02685093	3.718860548	2	0
59	13	0.106537968	0.017728661	NA	0.023123948	0.020426304	2.5	0.191727934	3.434628257	2	0	0	0.166406978	NA	0.217048889	2.666666667	4.333333333	4.666666667	3	2.5	2.5	4	4	4	5	5	5	1425	31.574	0.34930812	1.2	1.2	0.615384615	0.571428571	4.666666667	-2.166666667	0	0	1	0.535714286	0.191727934	0.5	0.5	0.625	0.625	0.625	0.5	-0.37294591	1.030070426	3.454637033	2	0
61	15	0.041952164	0.044272449	0.039875342	NA	0.042073895	1.5	1.002901662	NA	2	0	0	1.055307866	0.950495459	NA	1.666666667	3.666666667	3.666666667	1	1.5	1.5	3	3	4	3	4	5	NA	NA	NA	0.666666667	0.666666667	0.454545455	0.454545455	3.666666667	-2.166666667	0	1	0	0.409090909	1.002901662	0.375	0.3	0.5	0.5	0.375	0.5	0.294906823	NA	NA	2	NA
63	15	0.039930182	0.056870502	0.055972471	0.069227273	0.060690082	2.5	1.519904977	1.17597174	2	0	0	1.424248508	1.401758481	1.733707943	2	3.333333333	3	2	2.5	2.5	3	3	4	3	3	3	NA	NA	NA	0.8	0.8	0.6	0.666666667	3	-0.5	1	1	0	0.833333333	1.519904977	0.833333333	0.833333333	0.833333333	0.833333333	0.625	0.833333333	0.807423199	0.993507333	2.798555176	2	NA
64	15	0.100625064	0.08521249	0.108408654	0.062330851	0.085317332	1.5	0.847873564	2.17597174	2	0	0	0.846831656	1.0773524	0.619436636	1.333333333	2.666666667	2.666666667	1	1	1.5	2	2	3	2	3	4	NA	NA	NA	1	0.666666667	0.5	0.5	2.666666667	-1.166666667	1	1	0	0.5625	0.847873564	0.5	0.375	0.75	0.75	0.5	0.75	0.27007852	1.026810791	2.98052826	2	NA
65	15	0.0551073	0.034633717	0.022298747	0.035401385	0.030777949	1.5	0.558509478	1.67597174	2	0	0	0.628477842	0.404642334	0.642408259	1.333333333	3	3	1.5	1	1.5	3	3	3	2	3	4	NA	NA	NA	1.5	1	0.444444444	0.444444444	3	-1.5	1	0	0	0.5	0.558509478	0.5	0.375	0.5	0.5	0.5	0.75	-0.120293076	1.01295795	3.098116413	2	NA
69	15	0.15429082	0.022640454	0.072772055	0.005444198	0.033618903	2.4	0.217893083	0.67597174	2	0	0	0.146738829	0.471655117	0.035285303	2	3	3.333333333	2	2	2.5	2	3	3	3	4	4	NA	NA	NA	1	0.8	0.666666667	0.6	3.333333333	-0.833333333	1	0	1	0.75	0.217893083	0.625	0.625	1.25	0.833333333	0.833333333	0.833333333	-0.240813411	1.034378427	3.051691964	2	NA
70	15	0.131012896	0.082814085	0.117867892	0.056852517	0.085844831	1	0.655239552	0.67597174	2	0	0	0.632106363	0.899666332	0.43394596	1.333333333	2.333333333	2.666666667	1	1	1	1	1	3	3	3	4	NA	NA	NA	1	1	0.571428571	0.5	2.666666667	-1.666666667	1	0	0	0.375	0.655239552	0.333333333	0.25	1	1	0.333333333	0.333333333	0.144877507	1.097761897	2.760725561	2	NA
72	14	0.061672444	0.036232542	0.025336786	0	0.020523109	2	0.332776004	3.466754862	2	0	0	0.587499695	0.410828316	0	1.666666667	4.333333333	4	1.5	1.5	2	4	3	4	4	5	5	2652.333333	32.291	0.382928994	1	0.75	0.384615385	0.416666667	4	-2	0	0	1	0.5	0.332776004	0.4	0.4	0.5	0.666666667	0.5	0.5	-0.331457978	1.004433774	3.065222477	2	2.333333333
73	14	0.108631977	0.02753322	0.017198121	0.035192908	0.026641416	2.5	0.245244695	1.966754862	2	0	0	0.253454095	0.158315451	0.323964539	1.333333333	3.666666667	3.666666667	1.5	2	2.5	3	3	4	4	4	4	2652.333333	32.291	0.382928994	0.75	0.6	0.363636364	0.363636364	3.666666667	-1.166666667	1	0	1	0.681818182	0.245244695	0.625	0.625	0.833333333	0.833333333	0.625	0.625	-0.314782375	1.082173921	2.852258211	2	2.333333333
74	14	0.09375445	0.048195074	0.05032356	0.041025592	0.04808307	2.5	0.51286174	3.266754862	2	0	0	0.514056384	0.536759162	0.437585543	2.333333333	3.666666667	3.333333333	1	1.5	2.5	3	3	4	3	4	4	2652.333333	32.291	0.382928994	0.666666667	0.4	0.636363636	0.7	3.333333333	-0.833333333	1	0	0	0.75	0.496133697	0.625	0.625	0.833333333	0.833333333	0.625	0.833333333	-0.096907781	0.827264138	1.988540133	2	2.333333333
75	14	0.108198473	0.030960282	0.047587677	0.030253637	0.036267199	2	0.335191411	3.666754862	2	0	0	0.286143427	0.439818382	0.279612425	1.666666667	3.333333333	3	1	2	2	2	2	4	3	4	4	2652.333333	32.291	0.382928994	0.5	0.5	0.5	0.555555556	3	-1	1	0	0	0.666666667	0.335191411	0.5	0.5	1	1	0.5	0.666666667	-0.22579764	1.096619614	2.373492972	2	2.333333333
84	18	0.063012159	0.023128828	0.035532527	0.032362372	0.030341242	2.5	0.481514085	2.025085714	2	0	0	0.367053414	0.563899529	0.513589311	2	4	4.666666667	2	1.75	2.5	4	4	4	5	4	5	1204	32.086	0.327075437	1.142857143	0.8	0.5	0.428571429	4.666666667	-2.166666667	0	0	0	0.535714286	0.481514085	0.625	0.5	0.625	0.625	0.625	0.5	-0.179746963	1.055742078	2.612875591	2	1
85	18	0.054581398	0.04233754	0.029203567	0.04438629	0.038642466	2.5	0.707978675	NA	2	0	0	0.775677098	0.535046147	0.813212779	2	3.333333333	3.666666667	2.5	2	2.5	3	4	4	4	3	3	1204	32.086	0.327075437	1.25	1	0.6	0.545454545	3.666666667	-1.166666667	1	0	0	0.681818182	0.707978675	0.833333333	0.833333333	0.833333333	0.625	0.625	0.625	0.028009101	NA	NA	2	1
86	18	0.041705452	0.067354808	0.035021637	0.014812144	0.039062863	2.5	0.936636852	0.825085714	2	0	0	1.615012068	0.839737635	0.355160852	1.5	2.666666667	3.333333333	1.5	1.75	2.5	3	3	1	3	4	4	1204	32.086	0.327075437	0.857142857	0.6	0.5625	0.45	3.333333333	-0.833333333	1	1	0	0.75	0.936636852	0.625	0.625	0.833333333	0.833333333	2.5	0.833333333	0.228094537	0.986281443	2.75099319	2	1
87	18	0.127085177	0.061522637	0.079243916	NA	0.070383277	1.5	0.553827582	1.825085714	2	0	0	0.484105527	0.623549638	NA	1.833333333	5	5	2.5	3	1.5	5	5	5	5	5	5	1204	32.086	0.327075437	0.833333333	1.666666667	0.366666667	0.366666667	5	-3.5	0	0	0	0.3	0.553827582	0.3	0.3	0.3	0.3	0.3	0.3	0.034749619	1.098938398	3.065222477	2	1
