size,growthRate,InitialSize,breaks,time,diff,stdGR
23.922769,9.122768999999998,14.8,0,T3,T0 to T3,0.6164033108108107
16.137929,8.662929,7.475,0,T3,T0 to T3,1.1589202675585284
8.336,1.8360000000000003,6.5,0,T3,T0 to T3,0.2824615384615385
20.477554,5.0335540000000005,15.444,0,T3,T0 to T3,0.3259229474229474
13.463,4.414,9.049,0,T3,T0 to T3,0.48778870593435736
1.56267,-2.07733,3.64,0,T3,T0 to T3,-0.5706950549450549
23.053,10.853000000000002,12.2,0,T3,T0 to T3,0.8895901639344264
11.2,2.366999999999999,8.833,0,T3,T0 to T3,0.2679723763160873
26.147,15.646999999999998,10.5,0,T3,T0 to T3,1.490190476190476
9.199,2.9989999999999997,6.2,0,T3,T0 to T3,0.4837096774193548
17.809,8.112000000000002,9.697,0,T3,T0 to T3,0.8365473857894197
18.087,11.646,6.441,0,T3,T0 to T3,1.808104331625524
21.9,10.262999999999998,11.637,0,T3,T0 to T3,0.8819283320443412
6.69,-1.6499999999999995,8.34,0,T3,T0 to T3,-0.19784172661870497
9.329,1.8350000000000009,7.494,0,T3,T0 to T3,0.2448625567120364
4.681,0.7520000000000002,3.929,0,T3,T0 to T3,0.1913973021124969
16.137,7.3100000000000005,8.827,0,T3,T0 to T3,0.8281409312337148
10.914,5.183,5.731,0,T3,T0 to T3,0.9043796894084802
8.87,0.7099999999999991,8.16,0,T3,T0 to T3,0.08700980392156851
16.752,5.610999999999999,11.141,0,T3,T0 to T3,0.5036352212548244
4.733,0.6699999999999999,4.063,0,T3,T0 to T3,0.16490278119616048
9.728,-0.45500000000000007,10.183,0,T3,T0 to T3,-0.044682313660021615
6.622,-2.981,9.603,0,T3,T0 to T3,-0.3104238258877434
11.586,2.2059999999999995,9.38,0,T3,T0 to T3,0.2351812366737739
15.623,5.0969999999999995,10.526,0,T3,T0 to T3,0.48422952688580656
12.51,4.91,7.6,0,T3,T0 to T3,0.6460526315789474
11.152,5.635999999999999,5.516,0,T3,T0 to T3,1.0217548948513413
22.522,8.772999999999998,13.749,0,T3,T0 to T3,0.6380827696559748
17.2,9.273,7.927,0,T3,T0 to T3,1.1697994197048063
2.5,-3.7,6.2,0,T3,T0 to T3,-0.5967741935483871
11.783,0.2789999999999999,11.504,0,T3,T0 to T3,0.024252433936022246
18.51,7.293000000000001,11.217,0,T3,T0 to T3,0.6501738432736026
12.11,2.0619999999999994,10.048,0,T3,T0 to T3,0.2052149681528662
12.435,2.0040000000000013,10.431,0,T3,T0 to T3,0.19211964337072204
26.496,11.296,15.2,0,T3,T0 to T3,0.7431578947368421
8.893,0.9930000000000003,7.9,0,T3,T0 to T3,0.1256962025316456
14.62,6.552999999999999,8.067,0,T3,T0 to T3,0.8123218048840956
6.098,1.561,4.537,0,T3,T0 to T3,0.3440599515098082
9.516,2.316,7.2,0,T3,T0 to T3,0.32166666666666666
15.517,4.934999999999999,10.582,0,T3,T0 to T3,0.4663579663579662
16.765,4.578000000000001,12.187,0,T3,T0 to T3,0.3756461803561173
6.107878,-0.6971219999999994,6.805,0,T3,T0 to T3,-0.10244261572373246
5.5652,-3.8348000000000004,9.4,0,T3,T0 to T3,-0.40795744680851065
7.698,0.798,6.9,0,T3,T0 to T3,0.11565217391304349
10.546203,2.0502029999999998,8.496,0,T3,T0 to T3,0.2413139124293785
14.727,3.2270000000000003,11.5,0,T3,T0 to T3,0.28060869565217395
10.957,4.188000000000001,6.769,0,T3,T0 to T3,0.6187029103264885
7.563,2.0069999999999997,5.556,0,T3,T0 to T3,0.361231101511879
6.385,1.6239999999999997,4.761,0,T3,T0 to T3,0.34110480991388353
10.863,-6.056000000000001,16.919,0,T3,T0 to T3,-0.35794077664164553
21.345,8.212,13.133,0,T3,T0 to T3,0.6252950582502094
25.289,14.189000000000002,11.1,0,T3,T0 to T3,1.2782882882882884
8.3097,2.6807,5.629,0,T3,T0 to T3,0.4762302362764257
14.496922,2.893922,11.603,0,T3,T0 to T3,0.24941153150047402
8.41,2.21,6.2,0,T3,T0 to T3,0.3564516129032258
8.599,2.599,6,0,T3,T0 to T3,0.4331666666666667
9.29,2.8889999999999993,6.401,0,T3,T0 to T3,0.4513357287923761
40.561,9.51973,31.04127,0,T6,T3 to T6,0.30667978468664453
25.167,12.367,12.8,0,T6,T3 to T6,0.966171875
2.78,0.5092099999999999,2.27079,0,T6,T3 to T6,0.2242435451979267
3.43,1.4300000000000002,2,0,T6,T3 to T6,0.7150000000000001
4.419,0.9139999999999997,3.505,0,T6,T3 to T6,0.26077032810271034
41.448,12.39,29.058,0,T6,T3 to T6,0.4263886021061326
4.557,3.1700000000000004,1.387,0,T6,T3 to T6,2.2855082912761358
0.82,0.15699999999999992,0.663,0,T6,T3 to T6,0.23680241327300136
1.891,0.474,1.417,0,T6,T3 to T6,0.3345095271700776
11.222,5.725999999999999,5.496,0,T6,T3 to T6,1.0418486171761279
2.873,-4.1499999999999995,7.023,0,T6,T3 to T6,-0.5909155631496511
0.664,-0.368,1.032,0,T6,T3 to T6,-0.3565891472868217
0.788,0.18597400000000008,0.602026,0,T6,T3 to T6,0.3089135685169745
20.394,8.086999999999998,12.307,0,T6,T3 to T6,0.6571057121963109
12.267,3.0619999999999994,9.205,0,T6,T3 to T6,0.33264530146659416
10.487,0.9969999999999999,9.49,0,T6,T3 to T6,0.10505795574288723
